執行日期,科目名稱,摘要,受款單位, 金額 
112/01/09,國民及學前教育行政及督導,大額通報教補1月11日-非營利幼兒園111學年度學費差額補助第1期款,臺北市政府教育局,"316,295,952"
112/01/10,國民及學前教育行政及督導,112年度補助各地方政府置輔諮中心計畫經費,臺中市政府教育局,"997,101"
112/01/10,國民及學前教育行政及督導,112年度補助置專輔人員計畫經費,高雄市政府教育局,"29,172,000"
112/01/10,國民及學前教育行政及督導,112年度補助置專輔人員計畫經費,臺中市政府教育局,"28,841,000"
111/12/26,國民及學前教育行政及督導,111學年度下學期中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助經費第2期款,桃園市政府,"1,019,320"
112/01/10,國民及學前教育行政及督導,112年度補助各地方政府辦理新住民子女教育行政人力經費,臺北市政府教育局,"451,000"
112/01/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,臺中市政府教育局,"86,649"
112/01/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"3,558"
112/01/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,臺中市政府教育局,"3,882"
112/01/10,國民及學前教育行政及督導,111學年度第1學期高級中等學校特殊境遇家庭子女孫子女學雜費減免補助,桃園市政府,"3,801"
112/01/10,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,桃園市政府,"484,500"
112/01/10,國民及學前教育行政及督導,大額通報教補1月12日-非營利幼兒園111學年度學費差額補助第2期款,桃園市政府,"209,634,954"
112/01/10,國民及學前教育行政及督導,大額通報教補1月12日-非營利幼兒園111學年度學費差額補助第2期款,高雄市政府教育局,"320,977,308"
112/01/10,國民及學前教育行政及督導,大額通報教補1月12日-非營利幼兒園111學年度學費差額補助第2期款,臺中市政府教育局,"159,131,382"
112/01/12,國民及學前教育行政及督導,大額通報教補1月16日-111學年度我國少子女化對策計畫之各項幼生就學補助及育兒津貼等經費第3期款,臺南市政府教育局,"821,001,000"
112/01/12,國民及學前教育行政及督導,大額通報教補1月16日-非營利幼兒園111學年度學費差額補助第2期款,新北市政府教育局,"166,535,832"
112/01/12,國民及學前教育行政及督導,112年度第1梯次(111學年度第2學期)新住民子女職業技能精進計畫經費,臺中市政府教育局,"587,537"
112/01/12,國民及學前教育行政及督導,112年度新住民子女教育行政人力,桃園市政府,"473,000"
112/01/12,國民及學前教育行政及督導,112年度各地方政府設置學生輔導諮商中心,臺南市政府教育局,"693,428"
112/01/12,國民及學前教育行政及督導,112年度各地方政府設置學生輔導諮商中心,新北市政府教育局,"676,853"
112/01/12,國民及學前教育行政及督導,112年度各地方政府置專業輔導人員計畫,新北市政府教育局,"45,479,000"
112/01/12,國民及學前教育行政及督導,112年度各地方政府置專業輔導人員計畫,臺南市政府教育局,"18,326,000"
112/01/12,國民及學前教育行政及督導,112年1月至7月商借教師至國教署服務所需代理代課教師經費,臺北市政府教育局,"1,050,000"
112/01/12,國民及學前教育行政及督導,111學年度國民中小學學生學習扶助計畫第2期款,高雄市政府教育局,"37,120,309"
112/01/13,國民及學前教育行政及督導,112年桃園市政府承接教育部國、私立高級中等學校功能調整及業務移撥所需經費-1,桃園市政府,"9,000,000"
112/01/13,國民及學前教育行政及督導,111學年度技術型及綜合型高級中等學校十二年國民基本教育課程綱要前導學校工作計畫,高雄市政府教育局,"1,146,202"
112/01/13,國民及學前教育行政及督導,111學年度十二年國民基本教育課程綱要普通型前導學校計畫,高雄市政府教育局,"5,544,000"
112/01/13,國民及學前教育行政及督導,112年度新住民子女教育行政人力經費,臺南市政府教育局,"473,000"
112/01/13,國民及學前教育行政及督導,111學年度輔導教師人力運用計畫經費(第2期),臺南市政府教育局,"58,755"
112/01/13,國民及學前教育行政及督導,111學年度輔導教師人力運用計畫經費(第2期),臺南市政府教育局,"64,672,000"
112/01/13,國民及學前教育行政及督導,112年度補助置專輔人員計畫經費,桃園市政府,"22,814,000"
112/01/13,國民及學前教育行政及督導,112年度補助各地方政府置輔諮中心計畫經費(第1期),桃園市政府,"916,789"
112/01/13,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,臺南市政府教育局,"658,018"
112/01/13,國民及學前教育行政及督導,111學年度實施十二年國民基本教育課程預估新增鐘點費,高雄市政府教育局,"6,048,223"
112/01/16,國民及學前教育行政及督導,非營利幼兒園111學年度學費差額補助第2期款,臺南市政府教育局,"73,710,633"
112/01/16,國民及學前教育行政及督導,111學年度下學期中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助經費第2期款,臺北市政府教育局,"1,557,800"
112/01/16,國民及學前教育行政及督導,111學年度下學期中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助經費第2期款,臺南市政府教育局,"1,623,120"
112/01/16,國民及學前教育行政及督導,111學年度下學期中央課程與教學輔導諮詢教師團隊代理代課費暨課程與教學補助經費第2期款,臺中市政府教育局,"2,190,680"
112/01/16,國民及學前教育行政及督導,111學年度國民中學技藝教育課程競賽及成果展發表活動經費,新北市政府教育局,"1,350,000"
112/01/16,國民及學前教育行政及督導,112年度各地方政府置專業輔導人員計畫,臺北市政府教育局,"23,800,000"
112/01/16,國民及學前教育行政及督導,112年度僑生輔導經費,臺中市政府教育局,"126,360"
112/01/16,國民及學前教育行政及督導,112年度僑生輔導經費,高雄市政府教育局,"329,280"
112/01/16,國民及學前教育行政及督導,111學年度第1學期高級中等學校低收入戶及中低收入戶學生學雜費減免補助,桃園市政府,"370,283"
112/01/16,國民及學前教育行政及督導,111學年度第2學期高中優質化輔助方案,高雄市政府教育局,"9,136,900"
112/01/16,國民及學前教育行政及督導,111學年度第2學期高中優質化輔助方案,高雄市政府教育局,"3,525,000"
112/01/16,國民及學前教育行政及督導,111學年度第2學期高中優質化輔助方案,臺南市政府教育局,"1,349,500"
112/01/16,國民及學前教育行政及督導,111學年度第2學期高中優質化輔助方案,臺南市政府教育局,"1,038,000"
112/01/16,國民及學前教育行政及督導,112年度高級中等學校學習歷程紀錄模組維運費,臺南市政府教育局,"40,500"
112/01/16,國民及學前教育行政及督導,112年度地方政府暨轄屬學校執行強化校園安全防護工作,桃園市政府,"1,070,728"
112/01/16,國民及學前教育行政及督導,112年度地方政府暨轄屬學校執行強化校園安全防護工作,臺中市政府教育局,"1,235,086"
112/01/16,國民及學前教育行政及督導,大額通報教補1月18日-111學年度輔導教師人力運用計畫第2期款,新北市政府教育局,"122,858,184"
112/01/16,國民及學前教育行政及督導,大額通報教補1月18日-111學年度輔導教師人力運用計畫第2期款,臺中市政府教育局,"928,524"
112/01/16,國民及學前教育行政及督導,大額通報教補1月18日-111學年度輔導教師人力運用計畫第2期款,臺中市政府教育局,"106,777,600"
112/01/16,國民及學前教育行政及督導,大額通報教補1月18日-111學年度輔導教師人力運用計畫第2期款,高雄市政府教育局,"102,010,172"
112/01/16,國民及學前教育行政及督導,111學年度國民中小學本土教育整體推動方案第2期款,臺中市政府教育局,"2,417,712"
112/01/17,國民及學前教育行政及督導,大額通報教補1月19日-111學年度我國少子女化對策計畫之各項幼生就學補助及育兒津貼等經費第3期款,桃園市政府,"1,259,298,000"
112/01/17,國民及學前教育行政及督導,112年度機構安置高關懷學齡兒少就讀學校輔導工作計畫,高雄市政府教育局,"393,600"
112/01/17,國民及學前教育行政及督導,112年度反毒教育行動車入校宣導實施計畫,臺中市政府教育局,"257,985"
112/01/17,國民及學前教育行政及督導,112年度反毒教育行動車入校宣導實施計畫,高雄市政府教育局,"398,605"
112/01/17,國民及學前教育行政及督導,111學年度十二年國民基本教育課程綱要普通型前導學校計畫,桃園市政府,"2,555,525"
112/01/17,國民及學前教育行政及督導,111學年度十二年國民基本教育課程綱要普通型前導學校計畫,臺南市政府教育局,"1,848,000"
112/01/17,國民及學前教育行政及督導,112年度校園拒毒萌芽推廣實施計畫,臺中市政府教育局,"144,660"
